id,imie,nazwisko,zawod,ulica,kod,miasto,stawka
0,Jan,Korek,Tłumacz przysięgły,Ciasna 12,18-896,Jarocin,135
1,Witold,Cabała,Inscenizator,Cisowa 486,43-175,Mława,34
2,Cyprian,Fronia,Barista,Graniczna 03/09,83-463,Pszczyna,14
3,Mariusz,Łuckiewicz,Archeolog,Złota 62,41-684,Tychy,120
4,Jerzy,Kołaczek,Supermodelka,Stroma 94,03-417,Biała Podlaska,125
5,Jacek,Pytlarz,Kostiumograf,Agrestowa 981,53-224,Łomża,21
6,Krystyna,Szatko,Taksówkarz,Kasztanowa 40,68-190,Marki,19
7,Miłosz,Wojtiuk,Barista,Makuszyńskiego 64/43,25-337,Kłodzko,137
8,Aleks,Jessa,Syndyk,Paderewskiego 537,03-359,Swarzędz,107
9,Jacek,Cal,Pośrednik ubezpieczeniowy,Sienkiewicza 29,05-794,Świętochłowice,89
10,Robert,Kułach,Kawalkator,Maja 03/10,03-245,Oświęcim,120
11,Marek,Kaja,Dyrektor artystyczny,Rzemieślnicza 298,00-590,Poznań,107
12,Ewa,Ostręga,Technik kelner,Mickiewicza 967,03-002,Inowrocław,98
13,Filip,Suchta,Kuk,Irysowa 51,81-580,Konin,90
14,Kornel,Fras,Aktor dziecięcy,Wąska 66/87,14-320,Żary,46
15,Ernest,Krzywoń,Barman,Lipca 50,26-131,Żagań,65
16,Karol,Łokietek,Pracownicy uczelni w Polsce,Niecała 726,12-002,Wodzisław Śląski,42
17,Krystyna,Dytrych,Robotnik,Tartaczna 248,51-848,Jelenia Góra,31
18,Gabriel,Majtyka,Technik ochrony środowiska,Poprzeczna 649,47-077,Dąbrowa Górnicza,43
19,Kaja,Para,Główny księgowy,Podmiejska 782,00-918,Radomsko,103
20,Ignacy,Zysk,Robotnik,Dobra 20/13,10-110,Żagań,69
21,Aleks,Paprotny,Inżynier,Rzeczna 92,91-693,Rzeszów,111
22,Julian,Macioł,Rekwizytor,Łanowa 997,20-348,Leszno,14
23,Karol,Majtyka,Przedstawiciel handlowy,Stawowa 060,92-357,Chełm,14
24,Melania,Wałaszek,Motorniczy,Ptasia 60/13,49-218,Inowrocław,51
25,Jan,Steuer,Arborysta,Srebrna 012,84-056,Oświęcim,141
26,Adrian,Parkitny,Salowa,Jodłowa 16,30-210,Leszno,54
27,Dominik,Padło,Konsultant,Łanowa 38/50,08-579,Rzeszów,109
28,Artur,Boryczko,Syndyk licencjonowany,Solidarnosci 18,07-320,Czeladź,89
29,Blanka,Piotrak,Aktuariusz,Wyzwolenia 43,61-628,Nowa Ruda,80
30,Daniel,Małyszka,Meteorolog,Jana Sobieskiego 62,02-683,Lubliniec,148
31,Eliza,Kaczan,Technik elektronik,Leszczynowa 85/46,35-402,Śrem,35
32,Mariusz,Dynak,Instruktor,Kościuszki 326,74-550,Pszczyna,124
33,Szymon,Beker,Dubler,Wspólna 55,57-877,Łuków,29
34,Tomasz,Kośnik,Ochroniarz,Chabrowa 948,39-792,Toruń,82
35,Przemysław,Ellwart,Dyrektor finansowy,Magnoliowa 32/79,67-819,Piotrków Trybunalski,110
36,Norbert,Zdancewicz,Politolog,Korczaka 07,60-191,Chrzanów,52
37,Olga,Cyman,Kuk,Staffa 880,16-716,Suwałki,48
38,Przemysław,Nagel,Astronom,Długosza 32,30-874,Będzin,84
39,Tomasz,Kocaj,Konferansjer,Sportowa 65/67,32-280,Słupsk,15
40,Karol,Parafiniuk,Handlarz,Górska 83/47,96-302,Radom,37
41,Robert,Srokosz,Psiarz,Pocztowa 21/59,89-192,Police,56
42,Elżbieta,Trybuś,Brakarz,Turystyczna 17/08,28-294,Oleśnica,124
43,Przemysław,Bobak,Agent literacki,Konarskiego 36/82,52-377,Ruda Śląska,48
44,Dawid,Chomik,Broker informacji,Miarki 00/40,92-317,Słupsk,148
45,Rafał,Nestorowicz,Technik budownictwa,Rzemieślnicza 824,07-964,Radom,33
46,Tola,Gwara,Leśniczy,Jarzębinowa 81/97,81-147,Zamość,88
47,Róża,Piotrak,Katecheta,Sawickiej 55,66-198,Bytom,49
48,Bruno,Holc,Pracownik socjalny,Wiejska 54/12,77-418,Tarnów,106
49,Angelika,Wardziak,Tłumacz,Plażowa 05,37-540,Racibórz,24
50,Eliza,Michel,Żongler,Gołębia 62/62,20-310,Środa Wielkopolska,22
51,Julianna,Hadam,Drwal,Przechodnia 86/98,06-654,Wodzisław Śląski,84
52,Kacper,Rychel,Modelka dużych rozmiarów,Stefana Batorego 24,34-608,Sandomierz,75
53,Juliusz,Matura,Marketingowiec,Jabłoniowa 15,90-235,Luboń,118
54,Alex,Tasarz,Hutnik,Podleśna 32,07-774,Ciechanów,32
55,Kaja,Skierka,Hutnik,Miarki 318,47-629,Dąbrowa Górnicza,31
56,Karina,Feliksiak,Archeolog,Kasprowicza 13/66,96-532,Nowa Ruda,94
57,Aurelia,Łodyga,Iluzjonista,Swierkowa 911,67-959,Piotrków Trybunalski,131
58,Angelika,Płaneta,Kelner,Maczka 497,53-912,Płońsk,146
59,Dariusz,Łachut,Barista,Wiklinowa 03/91,08-546,Wągrowiec,30
60,Dorota,Dzidek,Ekonomista,Krakowska 437,12-382,Gliwice,62
61,Dominik,Dzikiewicz,Rybak,Perłowa 21/77,62-991,Rzeszów,103
62,Krystyna,Młyńczyk,Nauczyciel akademicki,Kolonia 146,95-364,Goleniów,41
63,Jan,Drela,Hostessa,Bukowa 34,11-755,Chorzów,44
64,Gustaw,Wujek,Makler papierów wartościowych,Przemysłowa 373,51-815,Białogard,21
65,Aniela,Grabas,Fasowacz,Daleka 93,31-215,Ostróda,70
66,Krzysztof,Piejko,Konsultant,Porzeczkowa 27,36-757,Racibórz,36
67,Bartek,Bosek,Scenarzysta,Floriana 61,44-569,Zabrze,26
68,Oskar,Kajak,Kurier,Szmaragdowa 985,61-558,Cieszyn,32
69,Maciej,Przeniosło,Technik ochrony środowiska,Żeromskiego 083,88-605,Bartoszyce,70
70,Kamil,Posłuszny,Kuk,Nadbrzeżna 65,12-096,Zgierz,14
71,Bruno,Staniewicz,Inscenizator,Parkowa 78,42-133,Świebodzice,46
72,Grzegorz,Starostka,Archiwista,Tulipanowa 22,41-213,Rumia,88
73,Tola,Uryga,Sprzątacz,Myśliwska 61/57,91-546,Malbork,98
74,Konstanty,Rzeźniczak,Szczurołap,Wrocławska 727,57-945,Tomaszów Mazowiecki,100
75,Urszula,Matynia,Antykwariusz,Bursztynowa 08,07-451,Zabrze,108
76,Apolonia,Tołoczko,Projektant gier komputerowych,Rzeczna 65/04,01-472,Płock,51
77,Grzegorz,Hrabia,Kiper,Andersa 05,57-256,Kielce,68
78,Oliwier,Holc,Nauczyciel,Słowackiego 34,40-324,Ełk,123
79,Norbert,Bobko,Pośrednik ubezpieczeniowy,Strumykowa 107,92-723,Pruszcz Gdański,128
80,Dorota,Litwiniuk,Służący,Fredry 33/66,59-053,Zielona Góra,78
81,Julianna,Korbut,Doker,Borowa 445,89-346,Tczew,19
82,Oskar,Krakowczyk,Politolog,Krakowska 49/85,01-700,Biała Podlaska,109
83,Adam,Rurarz,Kuk,Górnicza 57,80-928,Nowy Dwór Mazowiecki,81
84,Ada,Kurpisz,Rybak,Wałowa 70/54,18-407,Siedlce,104
85,Konstanty,Twardy,Archiwista,Irysowa 63/51,37-701,Reda,109
86,Ignacy,Wielądek,Lekarz weterynarii,Jabłoniowa 769,25-910,Szczecinek,96
87,Ryszard,Torbus,Detektyw,Sikorskiego 469,44-920,Biłgoraj,58
88,Eliza,Wziątek,Technik weterynarii,Konarskiego 025,47-339,Lubliniec,17
89,Roksana,Trzop,Agronom,Mazurska 339,66-466,Kwidzyn,31
90,Tymon,Czuryło,Kurator sądowy,Konarskiego 942,99-751,Iława,37
91,Ernest,Igras,Hostessa,Brzozowa 609,35-054,Koło,26
92,Gaja,Niechciał,Drwal,Witosa 77,73-172,Mielec,134
93,Leonard,Walenciak,Dyrektor finansowy,Źródlana 15/48,94-013,Żary,86
94,Arkadiusz,Gozdur,Marynarz,Łąkowa 82/76,79-026,Będzin,125
95,Emil,Spychaj,Krojczy,Sokola 55/78,46-324,Gniezno,112
96,Marcelina,Bondaruk,Konferansjer,Narutowicza 20/71,55-717,Leszno,137
97,Łukasz,Rawa,Astronom,Skargi 75,01-128,Gorzów Wielkopolski,71
